"artist","id","speechiness","liveness","energy","danceability","instrumentalness","loudness","tempo","song_title"
"Ice Cube",483,"0.0795","0.143","0.889","0.857","5.21E-06","-4.382","103.072","Bop Gun (One Nation) - Radio Edit"
"Destructo feat. Oliver",484,"0.0509","0.0784","0.774","0.796","0.812","-4.833","124.989","La Funky"
"Ivan Gough & Feenixpawl feat. Georgi Kay",485,"0.0922","0.293","0.897","0.67","0.0021","-5.19","127.994","In My Mind (Axwell Remix)"
"Justice",486,"0.0318","0.125","0.68","0.697","0.00674","-6.847","98.002","On'n'On - Ruined by Rick Rubin"
"Killer Mike",487,"0.173","0.0963","0.807","0.352","6.04E-06","-7.781","90.772","Don't Die"
"Azealia Banks",488,"0.355","0.107","0.799","0.687","0.0011","-9.181","128.001","Van Vogue"
"Hot Chip",489,"0.0357","0.0588","0.811","0.666","0.0614","-5.079","124.954","How Do You Do?"
"Hot Chip",490,"0.0382","0.122","0.768","0.764","0.0235","-5.614","125.988","Night And Day"
"Hot Chip",491,"0.0348","0.0487","0.86","0.677","0.0119","-5.074","121.989","Don't Deny Your Heart"
"Wale",492,"0.0554","0.137","0.801","0.735",0,"-5.067","123.094","Focused - feat. Kid Cudi"
"Lemonade",493,"0.0335","0.0773","0.694","0.286","0.00252","-7.481","169.904","Neptune"
"E-40",494,"0.232","0.0983","0.564","0.881",0,"-5.239","100.032","Function - feat. YG. IAmSu & Problem"
"Cloud Nothings",495,"0.0396","0.137","0.843","0.246","0.241","-10.022","80.047","Didn't You"
"Small Black",496,"0.0375","0.0606","0.876","0.515","0.156","-5.448","105.128","Search Party"
"Nickodemus",497,"0.0819","0.331","0.894","0.816","7.23E-05","-9.243","99.995","Mi Swing es Tropical"
"Miss Kittin",498,"0.0699","0.0983","0.518","0.715","0.772",-11,"129.87","Stock Exchange"
"Crazy P",499,"0.0882","0.267","0.637","0.829","0.0233","-9.481","120.761","Changes"
"J Rocc",500,"0.0998","0.171","0.978","0.444","0.778","-6.238","125.371","Play This (Also)"
"Purity Ring",501,"0.0966","0.395","0.725","0.612","0.011","-5.775","195.972","Obedear"
"Poolside",502,"0.0535","0.218","0.718","0.7","0.0609","-5.882","81.997","Slow Down"
"Chief Keef",503,"0.0586","0.0576","0.877","0.754",0,"-3.486","132.033","I Don't Like"
"Grizzly Bear",504,"0.0364","0.0939","0.654","0.327","0.00442","-6.258","102.532","Sleeping Ute"
"ScHoolboy Q",505,"0.103","0.0702","0.778","0.646",0,"-7.44","127.813","Hands On the Wheel (feat. a$Ap Rocky)"
"Memoryhouse",506,"0.0272","0.0976","0.526","0.486","0.158","-9.041","75.461","The Kids Were Wrong"
"Memoryhouse",507,"0.0309","0.0818","0.504","0.551","0.664","-11.166","115.998","Walk With Me"
"Matthew Dear",508,"0.0548","0.353","0.806","0.586","0.000167","-9.542","110.325","Her Fantasy"
"After The Fire",509,"0.0513","0.0772","0.716","0.694","0.000814","-7.468","121.427","Der Kommissar"
"Clyde Carson",510,"0.0656","0.284","0.528","0.817",0,"-6.551","100.997","Slow Down"
"Grimes",511,"0.034","0.241","0.677","0.611","0.0698","-6.745","166.04","Genesis"
"Dirty Projectors",512,"0.188","0.0624","0.657","0.727",0,"-5.307","82.553","About to Die"
"The War On Drugs",513,"0.0573","0.406","0.793","0.485","0.784","-8.693","131.951","Best Night"
"The War On Drugs",514,"0.0483","0.161","0.872","0.52","0.725","-8.104","111.958","Brothers"
"M83",515,"0.0334","0.0757","0.761","0.399","0.0456","-6.318","140.084","We Own The Sky"
"Sugarman Three",516,"0.0335","0.243","0.903","0.582","0.779","-4.505","119.457","Chicken Half"
"Stacey Q",517,"0.032","0.106","0.523","0.852",0,"-6.716","130.154","Two Of Hearts"
"New Order",518,"0.0352","0.201","0.806","0.623","0.0769","-8.533","130.049","The Perfect Kiss"
"A Tribe Called Quest",519,"0.291","0.104","0.688","0.844","0.00351","-8.594","96.671","Can I Kick It?"
"Miguel",520,"0.0989","0.191","0.603","0.684","0.000311","-8.127",81,"Sure Thing"
"M83",521,"0.0332","0.273","0.553","0.498","0.528","-6.193","111.015","Kim & Jessie"
"M83",522,"0.0359","0.0631","0.254","0.162","0.122","-11.251","108.943","Outro"
"Empire of the Sun",523,"0.0303","0.231","0.784","0.671","0.0121","-5.514","122.995","We Are the People"
"Hot Chip",524,"0.0464","0.0757","0.387","0.792","0.000106","-8.192","136.996","Look At Where We Are"
"Gary Clark Jr.",525,"0.0459","0.0862","0.944","0.417","0.00141","-5.192","109.721","Don't Owe You a Thang"
"Kendrick Lamar",526,"0.101","0.215","0.526","0.739",0,"-7.384","143.948","Money Trees"
"Dâm-Funk",527,"0.178","0.0924","0.916","0.791",0,"-2.009","103.709","Hood Pass Intact feat. MC Eiht"
"FIDLAR",528,"0.0343","0.121","0.935","0.491","0.348","-4.22","157.993","Got No Money"
"2 Chainz",529,"0.0512","0.156","0.586","0.748",0,"-2.554","140.067","Birthday Song"
"FIDLAR",530,"0.0539","0.226","0.931","0.351","0.129","-5.746","126.394","Oh"
"FIDLAR",531,"0.0656","0.131","0.964","0.48","0.000273","-3.681","98.496","No Waves"
"FIDLAR",532,"0.0543","0.292","0.963","0.123","0.0329","-4.182","198.04","Wake Bake Skate"
"FIDLAR",533,"0.0886","0.382","0.972","0.401","0.878","-2.236","152.839","No Ass"
"FIDLAR",534,"0.0497","0.307","0.886","0.228","0.848","-3.87","165.201","Black Out Stout"
"Crystal Castles",535,"0.0578","0.105","0.633","0.465","0.79","-9.493","130.074","Plague"
"Crystal Castles",536,"0.166","0.143","0.539","0.438",0,"-9.578","166.649","Kerosene"
"Crystal Castles",537,"0.0515","0.116","0.601","0.396","0.531","-9.347","129.996","Wrath Of God"
"Crystal Castles",538,"0.0503","0.187","0.628","0.596","0.00767","-7.582","139.965","Pale Flesh"
"DIIV",539,"0.0373","0.15","0.766","0.276","0.858","-6.012","158.188","Past Lives"
"Status Quo",540,"0.0313","0.087","0.588","0.241","0.00042","-6.914","171.882","Pictures Of Matchstick Men"
"Craig Bratley",541,"0.0542","0.0898","0.902","0.821","0.909","-7.203","112.98","Get Up"
"Tom Tykwer",542,"0.0296","0.113","0.228","0.354","0.8","-10.304","82.758","Cloud Atlas End Title"
"Wild Belle",543,"0.0504","0.0691","0.897","0.638","0.00748","-5.78","133.948","Keep You"
"Bibio",544,"0.167","0.0902","0.642","0.651","0.000186","-4.276","88.237","Anything New"
"Miguel",545,"0.175","0.187","0.576","0.625","4.07E-05","-5.693","179.063","Adorn"
"Toots & The Maytals",546,"0.125","0.0668","0.772","0.759","0.0687","-8.052","89.245","Louie Louie"
"Barrington Levy",547,"0.108","0.195","0.664","0.726",0,"-6.275","75.571","Under Mi Sensi"
"Burial",548,"0.0593","0.19","0.9","0.611","0.872","-10.026","129.729","Loner"
"Barrington Levy",549,"0.244","0.081","0.549","0.865","0.158","-10.083","142.8","Murderer"
"Tanner Ross",550,"0.149","0.0833","0.481","0.794","0.883","-11.97","114.003","Space Cakes - Original"
"Radiohead",551,"0.0323","0.108","0.677","0.614","0.518","-8.317","126.477","There. There"
"Kavinsky",552,"0.0543","0.472","0.857","0.535","0.00751","-5.2","91.053","Nightcall"
"Toyan",553,"0.27","0.112","0.672","0.815",0,"-5.675","151.362","Jacket & Tie"
"The Rolling Stones",554,"0.0345","0.0693","0.794","0.595","0.00733","-5.186","131.619","Doom And Gloom - Jeff Bhasker Mix"
"Tanlines",555,"0.0395","0.058","0.698","0.683","0.000113","-6.255","125.999","All Of Me"
"Trinidad James",556,"0.352","0.0533","0.619","0.722",0,"-8.324","140.031","Females Welcomed (feat. Reija Lee)"
"Darq E Freaker",557,"0.164","0.897","0.841","0.647",0,"-2.507","139.963","Blueberry (Pills & Cocaine) (feat. Danny Brown)"
"FIDLAR",558,"0.0514","0.313","0.972","0.428","0.000854","-4.329","133.064","Max Can't Surf"
"FIDLAR",559,"0.071","0.276","0.918","0.325","0.000288","-4.823","95.537","Wait for the Man"
"Todd Terje",560,"0.0444","0.348","0.781","0.912","0.762","-7.018","119.978","Inspector Norse"
"Chief Keef",561,"0.0894","0.111","0.416","0.771",0,"-8.188","131.952","Love Sosa"
"Softwar",562,"0.0446","0.116","0.764","0.759","0.719","-7.416","117.996","This Time Around"
"Canyons",563,"0.0447","0.127","0.737","0.691","0.0291","-5.758","108.049","See Blind Through"
"Grimes",564,"0.0366","0.0726","0.822","0.701","0.0526","-6.13","129.03","Vowels = space and time"
"Grimes",565,"0.0485","0.101","0.58","0.736","0.663","-9.643","140.04","Be A Body"
"James Brown",566,"0.143","0.369","0.912","0.564","8.05E-06","-4.718","92.054","Unchained (The Payback / Untouchable)"
"5kinAndBone5",567,"0.208","0.0487","0.513","0.824",0,"-9.591","99.938","Stomp - Dirty"
"Parquet Courts",568,"0.031","0.637","0.74","0.406","0.722","-7.232","92.333","Borrowed Time"
"Gucci Mane",569,"0.18","0.3","0.883","0.762",0,"-4.397","140.974","Young N*****"
"Trinidad James",570,"0.354","0.0846","0.77","0.54",0,"-7.748","99.882","All Gold Everything"
"Ben Pearce",571,"0.135","0.111","0.481","0.834","0.822","-9.511","121.999","What I Might Do - Club Mix"
"Icona Pop",572,"0.0289","0.146","0.905","0.714","2.55E-05","-2.663","125.927","I Love It (feat. Charli XCX) - Original Version"
"Swearin'",573,"0.0384","0.0996","0.774","0.36","0.807","-8.758","80.205","Kenosha"
"Purity Ring",574,"0.0404","0.434","0.798","0.609","8.68E-06","-4.448","130.034","Fineshrine"
"Disclosure",575,"0.0681","0.096","0.688","0.777","0.69","-8.692","126.019","Flow"
"Booba",576,"0.137","0.142","0.647","0.749",0,"-6.878","146.024","C'Est La Vie"
"Booba",577,"0.124","0.14","0.544","0.67","0.00792","-9.643","140.037","Caramel"
"Booba",578,"0.061","0.297","0.637","0.684",0,"-6.378","140.063","O.G"
"Lunatic",579,"0.344","0.0556","0.85","0.633",0,"-5.915","97.933","HLM 3"
"Funkagenda",580,"0.0629","0.103","0.77","0.594","0.9","-7.082","125.987","The Mighty Ming - Original Club Mix"
"Baauer",581,"0.0462","0.418","0.794","0.473","0.00218","-5.151","139.313","Harlem Shake"
"Lunice",582,"0.269","0.092","0.606","0.931","0.461","-8.366","94.018","Purp Walk"
"Chaz Van Queen",583,"0.34","0.319","0.685","0.744",0,"-8.332","87.675","Do You Like It? (Feat. Kool A.D)"
"Gucci Mane",584,"0.151","0.194","0.783","0.752",0,"-7.507","159.912","Gucci On The Rise"
"Chief Keef",585,"0.0473","0.141","0.469","0.821",0,"-7.152","132.002","Hate Bein' Sober"
"Lil Reese",586,"0.0973","0.141","0.513","0.908",0,"-5.318","130.047","Traffic"
"Rick Ross",587,"0.0743","0.105","0.702","0.636",0,"-5.437","125.998","Hold Me Back"
"Odd Future",588,"0.268","0.262","0.583","0.839",0,"-5.941","87.99","Oldie"
"Drake",589,"0.197","0.266","0.531","0.79",0,"-6.968","86.306","Started From the Bottom"
"Baauer",590,"0.0993","0.625","0.81","0.787","0.125","-7.822","77.505","Dum Dum"
"Just Blaze and Baauer",591,"0.186","0.404","0.978","0.603","0.493","-1.367","150.072","Higher - Extended"
"Juicy J",592,"0.107","0.108","0.67","0.937",0,"-6.149","136.029","Gone. Gone"
"The Blackbyrds",593,"0.0663","0.0635","0.703","0.748","0.0036","-11.869","110.615","Rock Creek Park"
"Bad Brains",594,"0.16","0.0769","0.235","0.727","0.0159","-20.263","127.16","Leaving Babylon"
"UZ",595,"0.204","0.317","0.948","0.857","0.816","-6.901","140.002","Trap Shit V7"
"Inner City",596,"0.0648","0.0764","0.978","0.793","0.0331","-9.229","124.922","Good Life - Original 12'' Mix"
"Inner City",597,"0.0522","0.036","0.808","0.738","0.734","-9.772","120.248","Big Fun - Original 12'' Mix"
"A-Trak",598,"0.178","0.183","0.86","0.864",0,"-1.92","140.029","Piss Test (feat. Juicy J & Dany Brown)"
"Sky Saxon & The Seeds",599,"0.0338","0.127","0.457","0.688",0,"-9.86","109.278","Can't Seem To Make You Mine"
"Classixx",600,"0.0388","0.0876","0.525","0.786","0.461","-8.271","128.014","Borderline"
"Toni Toni Lee",601,"0.0761","0.0408","0.686","0.734","0.11","-9.781","128.021","Elevate - Q45 Remix"
"Carte Blanche (feat. Alexis Taylor)",602,"0.0514","0.0293","0.891","0.765","0.0145","-6.43","126.99","With You (feat. Alexis Taylor)"
"Grum",603,"0.162","0.0791","0.798","0.725","2.14E-06","-6.75","124.045","Can't Shake This Feeling"
"Blaqstarr",604,"0.108","0.134","0.592","0.962","0.642","-11.716","130.684","Check Me Out Like"
"YACHT",605,"0.0693","0.0414","0.455","0.845","5.97E-05","-5.209","119.987","Second Summer"
"Wavves",606,"0.0677","0.382","0.95","0.5","0.0293","-4.333","120.038","Demon To Lean On"
"Beach House",607,"0.0245","0.0826","0.547","0.648","0.0439","-6.547","141.378","Walk In The Park"
"Azari & III",608,"0.0977","0.0684","0.69","0.77","0.0107","-4.903","118.989","Reckless (With Your Love)"
"Azari & III",609,"0.0384","0.23","0.907","0.61","0.698","-5.857","112.007","Reckless (With Your Love) - Tensnake Remix"
"Wiley",610,"0.0538","0.124","0.877","0.663","0.00217","-3.37","135.989","Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé]"
"Iamsu!",611,"0.157","0.1","0.373","0.831","0.000362","-6.896","96.115","(Bonus) Break Her Down"
"Danny Brown",612,"0.239","0.157","0.817","0.653",0,"-5.077","135.345","Molly Ringwald"
"Problem",613,"0.447","0.11","0.748","0.72",0,"-7.607","182.064","8 Feet Tall"
"Flatbush Zombies",614,"0.344","0.111","0.593","0.808","2.07E-06","-9.395","89.876","36 Chamber Flow"
"Western Tink",615,"0.314","0.128","0.481","0.798",0,"-10.488","127.136","Trill Hoe"
"Toro y Moi",616,"0.031","0.192","0.915","0.586","0.236","-6.264","117.99","Saturday Love"
"The Neighbourhood",617,"0.042","0.0879","0.615","0.695","0.000212","-5.325","124.015","Sweater Weather"
"The Partysquad",618,"0.0469","0.264","0.784","0.587","0.0126","-4.878","139.99","Oh My - Club Mix"
"Purity Ring",619,"0.0501","0.364","0.862","0.675","0.000609","-5.309","124.982","Saltkin"
"Purity Ring",620,"0.0369","0.201","0.73","0.671","0.000356","-6.773","112.011","Lofticries"
"Iamsu!",621,"0.102","0.171","0.793","0.632",0,"-4.171","189.992","Get It In"
"The Partysquad",622,"0.25","0.146","0.92","0.774","0.433","-4.213","128.97","My Bad - Club Mix"
"2 Chainz",623,"0.0752","0.08","0.685","0.941",0,"-5.24","97.524","I'm Different"
"Daft Punk",624,"0.038","0.101","0.811","0.794","1.07E-06","-8.966","116.047","Get Lucky - Radio Edit"
"EMP DASME",625,"0.0535","0.0579","0.634","0.805",0,"-7.759","143.944","Had A Dream"
"CHVRCHES",626,"0.056","0.334","0.669","0.394",0,"-4.461","169.929","Recover"
"CHVRCHES",627,"0.0491","0.077","0.459","0.635","0.000184","-7.59","114.865","Now Is Not the Time"
"Problem",628,"0.051","0.312","0.765","0.669",0,"-7.885","131.946","MDA"
"French Montana",629,"0.13","0.599","0.912","0.742",0,"-1.188","137.975","Pop That"
"Meek Mill",630,"0.121","0.131","0.752","0.624",0,"-5.43","134.021","Young & Gettin' It - feat. Kirko Bangz"
"Iamsu!",631,"0.243","0.251","0.628","0.622",0,"-9.964","144.812","Best Wishes"
"Iamsu!",632,"0.0829","0.127","0.66","0.719",0,"-8.22","119.996","Kids"
"Paper Diamond",633,"0.122","0.319","0.8","0.525","0.429","-11.484","80.032","Levitate"
"Major Lazer",634,"0.0783","0.095","0.538","0.525","0.117","-9.366","175.953","Get Free (feat. Amber of Dirty Projectors)"
"Future Islands",635,"0.069","0.887","0.855","0.472","0.93","-6.937","154.908","Balance"
"The Partysquad",636,"0.148","0.524","0.929","0.9","2.04E-05","-0.718","129.991","The Lion - Original Mix"
"The Partysquad",637,"0.103","0.0587","0.586","0.802","0.0212","-6.245","128.011","For Your Love - Club Edit"
"The Partysquad",638,"0.0582","0.0751","0.669","0.723","0.936","-5.026","126.013","For Your Love - Olav Basoski Remix"
"Quadron",639,"0.0455","0.356","0.508","0.797","0.00859","-8.154","118.032","Slippin’"
"Peaches",640,"0.202","0.113","0.426","0.869","0.534","-8.187","127.059","Take You On"
"Juicy J",641,"0.0333","0.146","0.595","0.756","1.98E-06","-6.924","130.031","One of Those Nights"
"Daft Punk",642,"0.0391","0.0751","0.793","0.821","1.37E-05","-9.003","116.009","Get Lucky - Daft Punk Remix"
"Adonis",643,"0.0856","0.101","0.772","0.806","0.864","-14.369","125.325","No Way Back"
"On The House featuring Marshall Jefferson",644,"0.342","0.22","0.504","0.702","5.11E-06","-16.794","121.374","Ride The Rhythm"
"Benny Benassi",645,"0.194","0.159","0.929","0.646","1.12E-06","-1.501","128.995","Move Your Body - Extended Mix"
"Neil Young",646,"0.0306","0.369","0.883","0.491","3.19E-05","-4.986","131.75","Rockin' In The Free World"
"Tame Impala",647,"0.0563","0.116","0.901","0.291","0.627","-2.327","150.052","Feels Like We Only Go Backwards"
"Tame Impala",648,"0.0754","0.0885","0.776","0.683","0.0748","-7.029","126.18","Half Full Glass of Wine"
"Major Lazer",649,"0.286","0.485","0.605","0.799","0.0143","-10.011","194.055","Bubble Butt [Radio Mix] [feat. Bruno Mars. 2 Chainz. Tyga & Mystic]"
"J. Dash",650,"0.0677","0.114","0.817","0.836",0,"-5.672","112.007","Wop (Official Version)"
"Finatticz",651,"0.293","0.059","0.415","0.931",0,"-8.491","97.995","Don’t Drop That Thun Thun"
"Red Hot Chili Peppers",652,"0.0616","0.0964","0.989","0.683","0.00108","-2.092","91.558","Give It Away"
"Kurt Vile",653,"0.0358","0.265","0.782","0.379","0.748","-8.163","101.698","Wakin on a Pretty Day"
"Clockwork",654,"0.175","0.595","0.949","0.771","0.602","-4.712","111.959","Hulk (Dillon Francis Remix)"
"Dillon Francis and Kill The Noise",655,"0.0328","0.0638","0.792","0.695","0.439","-4.595","112.008","Dill the Noise"
"The Raveonettes",656,"0.0372","0.322","0.804","0.375","0.694","-5.673","154.066","Dead Sound"
"Brillz & Teddy Tuxedo",657,"0.303","0.381","0.8","0.421","0.332","-5.85","189.935","Rvtchet Bitch"
"Savage",658,"0.274","0.088","0.474","0.886",0,"-8.045","150.068","Swing"
"Disclosure",659,"0.133","0.36","0.985","0.65","0.325","-3.406","153.009","You & Me - Baauer Remix"
"Dog Blood",660,"0.0733","0.363","0.944","0.76","0.85","-3.793","123.985","Next Order"
"Duck Sauce",661,"0.108","0.409","0.883","0.824","0.0707","-2.715","127.989","It's You"
"Kendrick Lamar",662,"0.271","0.461","0.72","0.482","2.07E-06","-6.812","90.999","m.A.A.d city"
"Juicy J",663,"0.0614","0.102","0.604","0.786",0,"-8.372","140.054","Bounce It"
"Roach Gigz",664,"0.2","0.095","0.578","0.853",0,"-4.897","98.027","Pu$$y Magnet (feat. Keayshawn)"
"A$AP Rocky",665,"0.152","0.531","0.82","0.794",0,"-5.214","140.042","Fashion Killa"
"DJ Khaled",666,"0.131","0.291","0.661","0.725",0,"-3.903","127.82","I Wanna Be With You"
"Sage The Gemini",667,"0.14","0.128","0.46","0.854",0,"-9.71","97.512","Gas Pedal (feat. IamSu)"
"Sage The Gemini",668,"0.137","0.0688","0.364","0.862",0,"-9.727","97.51","Red Nose"
"Rocko",669,"0.332","0.779","0.703","0.432",0,"-3.845","187.302","U.O.E.N.O. Remix (feat. Future. Wiz Khalifa)"
"Flap Jack",670,"0.241","0.331","0.713","0.847",0,"-3.89","132.063","VERSACE"
"Action Bronson",671,"0.322","0.127","0.794","0.654",0,"-4.307","96.973","Strictly 4 My Jeeps"
"Duke Dumont",672,"0.129","0.169","0.914","0.701","0.000137","-4.463","123.966","The Giver - Original Mix"
"Duke Dumont",673,"0.0582","0.0544","0.728","0.844","0.865","-6.805","124.297","Lean & Bounce"
"UGK",674,"0.166","0.0725","0.884","0.582",0,"-5.635","150.195","Swishas and Dosha - Main Version - Clean"
"UGK",675,"0.219","0.664","0.682","0.697",0,"-9.022","155.742","Players Anthem"
"Drake",676,"0.067","0.0923","0.453","0.766","3.49E-05","-6.651","100.002","Hold On. We're Going Home"
"2 Chainz",677,"0.103","0.132","0.541","0.872","0.000789","-5.911","95.971","Living"
"Wiz Khalifa",678,"0.158","0.691","0.813","0.621",0,"-3.59","141.91","Taylor Gang - Bonus Track"
"Brian Pumper",679,"0.256","0.19","0.617","0.675",0,"-7.74","140.124","I'm A Martian"
"Bro Safari",680,"0.0978","0.49","0.879","0.689","0.0376","-4.03","170.036","The Drop"
"MiM0SA",681,"0.172","0.105","0.664","0.63","0.082","-7.245","179.955","Drippin"
"TR/ST",682,"0.028","0.139","0.75","0.514","0.0285","-7.847","86.018","Heaven"
"Glass Figure",683,"0.0314","0.434","0.677","0.599","0.00018","-6.328","126.012","I Need You"
"Dan Croll",684,"0.169","0.0584","0.888","0.64","8.01E-05","-5.251","87.93","From Nowhere"
"Lykke Li",685,"0.0472","0.235","0.533","0.599","0.00153","-14.032","122.262","I Follow Rivers"
"Yelle",686,"0.0275","0.0774","0.901","0.667","0.00393","-3.719","140.026","L'Amour Parfait"
"Kate Boy",687,"0.0514","0.104","0.77","0.742","0.0239","-6.339","96.988","Northern Lights"
"A$AP Ferg",688,"0.102","0.409","0.704","0.874",0,"-6.27","119.954","Shabba"
"A$AP Ferg",689,"0.0565","0.0845","0.834","0.726","0.683","-5.564","130.04","Work"
"A$AP Ferg",690,"0.138","0.112","0.732","0.834",0,"-5.121","130.011","Work REMIX"
"Kate Boy",691,"0.083","0.121","0.865","0.712","0.0412","-6.411","113.015","The Way We Are"
"Rocko",692,"0.323","0.317","0.641","0.422",0,"-4.947","187.027","U.O.E.N.O. (feat. Rick Ross. Future)"
"A-1",693,"0.262","0.172","0.773","0.651",0,"-6.855","129.882","Now You Do"
"Classixx",694,"0.0426","0.603","0.77","0.728","0.229","-4.945","108.991","Holding On - Jerome LOL Remix"
"Celeda",695,"0.0549","0.105","0.643","0.907","0.0265","-8.657","124.909","Music Is the Answer - Original Extended 12-Inch Mix"
"Flosstradamus & DJ Sliink",696,"0.061","0.0563","0.898","0.855","2.95E-05","-3.863","135.965","Test Me - UZ Remix"
"Flosstradamus & DJ Sliink",697,"0.111","0.385","0.792","0.769",0,"-4.086","136.021","Test Me"
"DJ Khaled",698,"0.149","0.657","0.675","0.7",0,"-6.362","124.882","No New Friends - SFTB Remix"
"Jeezy",699,"0.263","0.111","0.489","0.825",0,"-9.32","96.99","R.I.P."
"Badfinger",700,"0.069","0.164","0.913","0.607","0.118","-6.822","124.677","Baby Blue"
"Danny Brown",701,"0.0819","0.15","0.882","0.751",0,"-5.605","140.103","Dip"
"Danny Brown",702,"0.0833","0.144","0.848","0.723",0,"-7.11","116.021","25 Bucks [feat. Purity Ring]"
"Sam Sparro",703,"0.0461","0.243","0.888","0.626","0.0551","-4.981","126.976","Fascism"
"Riff Raff",704,"0.235","0.246","0.633","0.743",0,"-8.224","85.041","Marc Jacobs"
"Iron Galaxy & Sexlife",705,"0.0469","0.0833","0.767","0.752","0.931","-8.022","117.973","One Of Us - Original Mix"
"Paper Diamond",706,"0.0636","0.0637","0.763","0.66","0.0389","-6.832","137.932","Can We Go Up?"
"Best Coast",707,"0.118","0.162","0.963","0.211","0.000732","-4.061","128.113","This Lonely Morning"
"The Chambers Brothers",708,"0.133","0.0725","0.514","0.528","0.0894","-11.909","122.872","Time Has Come Today"
"Crystal Castles",709,"0.0349","0.0749","0.797","0.442","0.293","-7.352","135.018","Sad Eyes"
"Wiley",710,"0.135","0.0667","0.716","0.876","0.000482","-6.884","131.942","Wearing My Rolex - Radio Edit"
"Duke Dumont",711,"0.0537","0.385","0.848","0.67","0.00168","-5.103","124.029","Need U (100%) [feat. A*M*E] [Radio Edit]"
"Parquet Courts",712,"0.0599","0.122","0.89","0.237","0.843","-7.445","169.792","Stoned and Starving"
"Arcade Fire",713,"0.0317","0.352","0.721","0.59","0.0155","-8.32","111.524","Reflektor"
"Breach",714,"0.0577","0.11","0.616","0.907","0.425","-7.073","124.036","Jack"
"Lorde",715,"0.0576","0.23","0.547","0.764","0.000161","-8.6","89.993","Tennis Court"
"Janelle Monáe",716,"0.0339","0.465","0.465","0.667","0.00649","-8.096","123.883","Primetime (feat. Miguel)"
"Drake",717,"0.0907","0.0705","0.407","0.772","2.40E-05","-7.442","100.006","Hold On. We're Going Home"
"Vampire Weekend",718,"0.0681","0.1","0.313","0.345","0.000822","-10.098","207.969","Hannah Hunt"
"Disclosure",719,"0.168","0.0897","0.732","0.502","0.000119","-5.45","122.025","Latch"
"Autre Ne Veut",720,"0.0438","0.177","0.844","0.35",0,"-4.161","114.64","Play by Play"
"Sky Ferreira",721,"0.0363","0.243","0.737","0.69",0,"-4.123","115.02","I Blame Myself"
"Earl Sweatshirt",722,"0.212","0.385","0.568","0.716","1.98E-06","-8.904","136.894","Sunday"
"Vampire Weekend",723,"0.101","0.101","0.724","0.624","7.79E-06","-7.113","78.008","Step"
"Blood Orange",724,"0.146","0.305","0.798","0.74","0.00128","-6.55","119.964","You're Not Good Enough"
"Todd Terje",725,"0.0428","0.155","0.949","0.81","0.957","-8.732","121.971","Strandbar (disko)"
"Rhye",726,"0.0307","0.28","0.324","0.574","0.0817","-10.993","91.007","Open"
"HAIM",727,"0.069","0.0835","0.894","0.741","4.89E-05","-5.648","111.969","Falling"
"Disclosure",728,"0.05","0.317","0.848","0.667","0.000213","-6.164","119.975","White Noise"
"Destruction Unit",729,"0.0499","0.269","0.913","0.122","0.713","-5.815","185.906","Bumpy Road"
"A$AP Ferg",730,"0.103","0.272","0.712","0.869",0,"-6.136",120,"Shabba"
"A$AP Ferg",731,"0.142","0.174","0.733","0.841",0,"-5.077","130.009","Work REMIX"
"Tyga",732,"0.238","0.13","0.543","0.816",0,"-6.923","95.04","Dope"
"Arcade Fire",733,"0.0399","0.145","0.394","0.288","0.712","-14.352","151.632","Here Comes The Night Time II"
"Glass Candy",734,"0.0366","0.0993","0.742","0.57","0.177","-12.475","127.193","Warm In The Winter"
"Black Harmony",735,"0.0727","0.0442","0.634","0.807","0.0288","-9.035","94.242","Don't Let It Get to Your Head"
"ASTR",736,"0.043","0.376","0.787","0.656","0.0923","-5.01","94.495","We Fall Down"
"ASTR",737,"0.0782","0.0639","0.789","0.333",0,"-5.784","82.66","R U With Me"
"ASTR",738,"0.0378","0.342","0.744","0.652","2.87E-05","-4.098","123.006","Blue Hawaii"
"ASTR",739,"0.102","0.323","0.857","0.771","0.0161","-6.114","108.03","Razor"
"Rihanna",740,"0.0271","0.114","0.324","0.619","5.42E-05","-10.146","111.927","Stay"
"Global Deejays",741,"0.0513","0.14","0.829","0.701","0.00223","-5.749","132.349","The Sound Of San Francisco - Progressive Album Mix"
"Cream",742,"0.0356","0.113","0.478","0.683","5.26E-05","-12.501","115.121","Sunshine Of Your Love"
"Jefferson Airplane",743,"0.0355","0.293","0.63","0.507","0.0127","-8.746","130.141","Somebody to Love"
"Scott McKenzie",744,"0.0265","0.113","0.645","0.529","0.00821","-8.158","112.575","San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version"
"Jefferson Airplane",745,"0.0282","0.116","0.329","0.561","0.0311","-12.68","105.029","White Rabbit"
"Afrolicious",746,"0.0623","0.0886","0.462","0.827","0.543","-10.673","123.994","Pleasure Power (DJ Smash Disco Remix)"
"Kanye West",747,"0.0466","0.0907","0.662","0.359",0,"-2.843","152.096","Bound 2"
"Beyoncé",748,"0.0468","0.181","0.621","0.589","0.00104","-6.902","140.03","Drunk in Love"
"Gesaffelstein",749,"0.0377","0.55","0.839","0.597","0.825","-6.964","108.993","Viol - Original Mix"
